uniprot_id,gene_name,protein_name,seq_length
A0A0T9ZNC9,ERS007718_04094,Uncharacterized protein,141
A0A654TZ39,ERS007657_01310,Secreted protein,68
A0A654TU79,ERS007661_03948,Uncharacterized protein,56
A0A655JK25,ERS007681_03365,Uncharacterized protein,156
A0A0U0QSW2,ERS007661_04152,Transposase,92
A0A0U0UD20,ERS007679_04348,Uncharacterized protein,125
A0A0T9DY96,ERS007657_00370,Uncharacterized protein,134
A0A654ZK58,ERS007657_03893,Uncharacterized protein,71
A0A654TFC1,ERS007657_03466,Putative S-adenosyl-L-methionine-dependent methyltransferase,122
A0A0U0RCU4,ERS007681_01312,Uncharacterized protein,451
A0A655FSR6,ERS007661_03557,Uncharacterized protein,108
A0A0T7LUE4,ERS007657_00878,Uncharacterized protein,92
A0A655FYQ3,ERS007661_04276,Phosphoglycerate mutase,70
A0A655AP92,ERS007718_01956,Secreted protein,99
A0A0T9C729,ERS007657_01316,Uncharacterized protein,67
A0A0T9EPN1,ERS007657_04316,Uncharacterized protein,73
A0A655JNI4,fadD9,Fatty-acid-CoA ligase,275
A0A0T9YVY2,rluA,Pseudouridine synthase,96
A0A0T7LDH7,ERS007657_02684,Uncharacterized protein,64
A0A0T9XUX4,ERS007661_01368,Conserved membrane protein of uncharacterized function,312
A0A654ZZ02,ERS007720_01597,Uncharacterized protein,95
A0A654U4T6,cfiA,Pyruvate carboxylase,189
A0A0T9YP35,ERS007657_01741,Uncharacterized protein,54
A0A655EVU9,ERS007718_01351,exopolyphosphatase,113
A0A654TIK7,ERS007657_03070,Uncharacterized protein,210
A0A0E8VRM8,A4S10_01757,AhpC/TSA family,181
A0A0T9JVQ5,ERS007679_01507,Uncharacterized protein,279
A0A655CQ76,ERS007688_00940,Uncharacterized protein,143
A0A655JJD5,ERS007661_04464,PPE family protein,109
A0A0T9E439,ERS007661_04314,Uncharacterized protein,140
A0A655JP29,ERS007661_01769,Uncharacterized protein,190
A0A654T6G1,amiA2,amidase,283
A0A654TN92,ERS007681_04780,Uncharacterized protein,55
A0A654U7D8,ERS007657_04115,"Conserved protein of uncharacterized function, alanine rich",74
A0A0U0T2C6,dfp,DNA/pantothenate metabolism flavoprotein,105
A0A0T7LKS6,PPE42,PPE family protein,460
A0A0T9YT39,ERS007657_04085,Uncharacterized protein,55
A0A0T9EII2,ERS007657_00776,Uncharacterized protein,172
A0A0U0QYC1,ERS007661_02788,Uncharacterized protein,74
A0A655EKC3,ERS007657_01783,Exported repetitive protein PirG,138
A0A654T5K1,ERS007657_02058,Secreted protein,120
A0A655A1T2,ERS007661_01148,Secreted protein,67
A0A655FYI9,ERS007657_04439,Uncharacterized protein,106
A0A0T9XKN4,ERS007657_00932,Uncharacterized protein,93
A0A0T7PCV8,ERS007657_00773,Uncharacterized protein,73
A0A655JQD0,ERS007679_03798,5'-3' exonuclease,54
A0A655JR46,ERS007657_04504,Uncharacterized protein,62
A0A0T9C599,CAB90_03632,Uncharacterized protein,107
A0A0U0R7L9,ERS007681_02063,Uncharacterized protein,52
A0A0T9F4N8,ERS027659_05188,Uncharacterized protein,72
A0A0U0R8B6,ERS007661_00741,Uncharacterized protein,228
A0A654ZUW9,ERS007661_04433,Uncharacterized protein,95
A0A655BW94,ERS007720_04530,Secreted protein,77
A0A655F9R3,ERS007657_02432,Uncharacterized protein,71
A0A655E9I0,ERS007679_03427,Uncharacterized protein,319
A0A655AV32,ERS007657_00349,Uncharacterized protein,59
A0A0E9AD05,A4S10_01984,Uncharacterized protein,60
A0A654U7Z8,ERS007657_04655,Uncharacterized protein,62
A0A654ZI49,ERS007661_04272,Uncharacterized protein,59
A0A655AX78,ERS007741_04822,PE family protein,61
A0A654TD68,ERS007657_01143,Uncharacterized protein,146
A0A654U3S9,ephA,Putative epoxide hydrolase EPHA,112
A0A0T9AT05,ERS007688_00411,Uncharacterized protein,147
A0A0T9E799,mce2A_1,MCE-family protein MCE2A,124
A0A655JG49,ERS007681_00055,Uncharacterized protein,192
A0A655AW66,PE_PGRS,PE-PGRS family protein,82
A0A0T9G3U2,ERS007718_04093,Uncharacterized protein,75
A0A0E9AFP5,A4S10_01109,IS like-2 transposase,180
A0A0T9VS02,ERS007718_02597,Uncharacterized protein,144
A0A0T9FAW0,ERS007661_03436,Uncharacterized protein,90
A0A654TAZ2,ERS007679_01802,Uncharacterized protein,186
A0A0U0SBC1,ERS007679_03269,Uncharacterized protein,201
A0A0T9EVK1,ERS007688_00793,Uncharacterized protein,200
A0A654ZF55,ERS007657_00552,Integral membrane protein,105
A0A0U0RZK2,ERS007657_03495,Uncharacterized protein,91
A0A655JLZ0,ERS007657_02334,Uncharacterized protein,186
A0A655EMY0,ERS007679_03253,Uncharacterized protein,216
A0A655AMJ0,ERS007681_02692,PPE family protein,80
A0A654TN13,cbs_1,Cystathionine beta-synthase,70
A0A655EFD3,ERS007720_05115,PPE family protein,55
A0A0T9F3T6,ERS007657_03106,Uncharacterized protein,93
A0A655CBR7,ERS007661_01724,Conserved protein of uncharacterized function (Part1),211
A0A655FX53,ERS007661_04027,Uncharacterized protein,89
A0A655FZZ0,ERS007661_04187,Uncharacterized protein,52
A0A654TT31,ERS007688_04120,Exported repetitive protein PirG,134
A0A655E9E8,ERS007661_01665,Uncharacterized protein,151
A0A0T9EVR8,ERS007657_01145,Uncharacterized protein,80
A0A654ZIS8,ERS007661_03229,Uncharacterized protein,158
A0A0E8U539,A4S10_00743,Uncharacterized protein,251
A0A654U436,ERS007657_03252,Uncharacterized protein,63
A0A654ZID0,ERS007657_01738,Uncharacterized protein,111
A0A655FKZ0,ERS007661_02902,Uncharacterized protein,126
A0A0E9AQP3,A4S10_03676,Uncharacterized protein,59
A0A0E8B6V9,CAB90_01723,Uncharacterized protein,85
A0A0U0QTC2,ERS007657_00449,Uncharacterized protein,78
A0A0U0SKX1,ERS007657_01924,Uncharacterized protein,78
A0A0U0TRV6,ERS007679_04696,Hydrolase,128
A0A0U0UM25,ERS007657_04257,Uncharacterized protein,56
A0A654TAJ1,ERS007679_02462,Uncharacterized protein,150
A0A654U3U0,ERS007657_03149,Uncharacterized protein,128
A0A654TZS0,lpqH,19 kDa lipoprotein antigen Lpq,95
A0A655AR66,ERS027646_03060,Uncharacterized protein,66
A0A654TUV2,ERS007657_03454,Uncharacterized protein,88
A0A655ABW5,ERS007661_03279,Uncharacterized protein,179
A0A654TX91,ERS007657_00639,Uncharacterized protein,84
A0A655JG77,ERS007688_03587,Uncharacterized protein,54
A0A0T9B5R7,ERS007718_03719,Uncharacterized protein,114
A0A655EVG4,ERS027646_01139,Uncharacterized protein,202
A0A654U5Y9,ERS007657_03662,Secreted protein,72
A0A655IQV4,ERS007657_03397,Uncharacterized protein,52
A0A654U5K3,ERS007657_03644,Uncharacterized protein,93
A0A654TDG0,ERS007681_03489,Uncharacterized protein,192
A0A655JQR5,pknE_2,Transmembrane serine/threonine-protein kinase E pknE,220
A0A654TCJ4,ERS007657_01608,Uncharacterized protein,94
A0A655FG15,ERS007681_02767,Uncharacterized protein,240
A0A0T9DIB3,ERS007657_00616,Uncharacterized protein,60
A0A655DJL5,ERS007661_04415,Uncharacterized protein,96
A0A655FKU0,ERS007657_02300,Uncharacterized protein,54
A0A0T7PGC4,ERS007657_02087,Uncharacterized protein,113
A0A654ZZF1,ERS007679_03984,Uncharacterized protein,157
A0A0T9BAL6,ERS007657_02921,Uncharacterized protein,137
A0A0T9EYV4,ERS007661_00697,Uncharacterized protein,72
A0A654ZVD9,ERS007661_03879,Uncharacterized protein,88
A0A0T9EEL0,ERS007657_02016,Uncharacterized protein,108
A0A0U0SQP6,uvrD1,ATP-dependent DNA helicase II,52
A0A0E8WYT6,A4S10_02093,Chitinase cellulase,80
A0A0T9Z3R0,ERS007661_04422,Uncharacterized protein,96
A0A654TAT0,ERS007657_00432,Uncharacterized protein,185
A0A655ALW7,ERS027646_03982,Uncharacterized protein,68
A0A655FW53,ERS007718_03096,Uncharacterized protein,89
A0A655HKI1,ERS007661_03369,Ligase,152
A0A0U0RU17,ERS007657_03107,Uncharacterized protein,66
A0A0U0S0Z8,ERS007688_02856,Uncharacterized protein,204
A0A655J3X5,trpB,"Tryptophan synthase, beta subunit TrpB",111
A0A655AIP5,ERS007661_03220,Uncharacterized protein,77
A0A655AM94,coaE,Dephospho-CoA kinase,158
A0A655IKA7,ERS007679_04694,"Uncharacterized ACR, COG1259",90
A0A0U0RJP4,ERS007657_00642,Uncharacterized protein,62
A0A655ALS1,ERS007661_01274,Uncharacterized protein,136
A0A654T5X5,ribD_1,Riboflavin biosynthesis protein RibD,61
A0A0T9XKP2,ERS007661_01534,Uncharacterized protein,182
A0A655APU7,ERS007661_00990,Transposase,77
A0A655FX50,ERS007720_04672,Uncharacterized protein,85
A0A0U0UB55,ERS007657_04198,TIGR03089 family protein,51
A0A655JAV9,ERS007679_04121,Uncharacterized protein,85
A0A0T9XZP6,ERS007661_02482,Uncharacterized protein,69
A0A655A8X1,rpsP,30S ribosomal protein S16,101
A0A655EQZ4,ERS007679_00319,Uncharacterized protein,315
A0A0U0SC14,nreC_2,LuxR family transcriptional regulator,208
A0A655FRT1,ERS007661_04554,Uncharacterized protein,70
A0A0U0SJZ8,ERS007657_00148,Uncharacterized protein,95
A0A0U0TF31,ERS007703_05367,Uncharacterized protein,53
A0A0T9AXX6,ERS007657_03422,Uncharacterized protein,114
A0A655FA40,ERS007657_02716,Uncharacterized protein,130
A0A655D9P5,ERS007657_01444,Uncharacterized protein,131
A0A655F6I0,ERS007679_02804,Uncharacterized protein,86
A0A655HP40,ERS007657_00969,PPE family protein,60
A0A655EVE4,ERS007679_01954,Uncharacterized protein,78
A0A655J1C9,ERS007657_03124,Uncharacterized protein,79
A0A0T9C2R6,ERS007657_04171,Uncharacterized protein,108
A0A655DFS1,ERS007720_01087,Transposase,52
A0A0T9YD10,ERS007661_04478,Uncharacterized protein,79
A0A654TS37,ERS007661_02549,Uncharacterized protein,101
A0A0T9CFW0,CAB90_00942,Uncharacterized protein,201
A0A0U0S1H7,ERS007661_02168,Exported repetitive protein PirG,125
A0A654ZQS9,ERS007657_02683,Uncharacterized protein,95
A0A655AP47,ERS007739_04271,Secretory protein,144
A0A655AQN3,hsaB_3,Oxidoreductase,108
A0A655A4P4,tag,DNA-3-methyladenine glycosylase I TAGA,109
A0A655IA57,sigF,Alternate RNA polymerase sigma factor SIGF,91
A0A654ZEW6,ERS007679_02866,Uncharacterized protein,88
A0A655ASX8,ERS027646_04049,Uncharacterized protein,64
A0A0T9EPT8,PPE28,PPE family protein,302
A0A0U0TB77,ERS007661_03856,Secreted protein,112
A0A654U2A5,egtC,Glutamine amidotransferase,161
A0A655IXY1,ERS007681_04702,DeoR family transcriptional regulator,126
A0A0U0RX63,ERS007703_03330,Peptide synthetase nrp,221
A0A655ELF4,ERS007657_01701,Protein of uncharacterized function (DUF3170),116
A0A0T9E083,ERS007679_02737,Uncharacterized protein,174
A0A654ZYN0,accD5_2,Propionyl-CoA carboxylase subunit beta,361
A0A655G086,ripA,Invasion protein,86
A0A0T7PN01,ERS007657_04397,Uncharacterized protein,50
A0A655JRJ9,ERS007661_04101,Uncharacterized protein,74
A0A655ALZ5,ERS007657_02450,Uncharacterized protein,99
A0A654ZL68,ERS007661_04280,Uncharacterized protein,81
A0A655AHT8,cobLb,Precorrin-6y methyltransferase,123
A0A0T9FKN3,ERS007681_00397,Uncharacterized protein,195
A0A654TAU1,ERS007657_00147,Uncharacterized protein,123
A0A655AVL7,strE_3,NAD-dependent epimerase/dehydratase,164
A0A655HL86,ERS007679_00165,Uncharacterized protein,55
A0A654THY0,ERS007679_04331,Transcriptional regulator LytR family,125
A0A0T7LJB4,ERS007657_00293,Uncharacterized protein,156
A0A0U0SAP6,ripA_2,Secreted protein P60-like protein,82
A0A655A9Z2,engD,GTP-binding protein,188
A0A655EU34,ERS007657_01539,Uncharacterized protein,98
A0A655F3P2,ERS007657_01679,Uncharacterized protein,90
A0A655AV11,ERS007661_03047,Uncharacterized protein,214
A0A654TEL5,ERS007657_01521,2Fe-2S ferredoxin-type domain-containing protein,110
A0A654ZW17,pmmB,Phosphomannomutase,428
A0A0T9E646,A4S10_01843,PPE family protein,105
A0A655FXZ7,adk,Adenylate kinase,135
A0A655AGE3,ERS027659_04086,Oxidoreductase,259
A0A654ZNV4,ERS007657_02438,Uncharacterized protein,97
A0A0T9VEM3,ERS007657_03871,Uncharacterized protein,79
A0A654ZL12,ERS027646_02807,Uncharacterized protein,247
A0A0T9C4S2,dnaZX,DNA polymerase III subunit gamma/tau DNAZ/X,59
A0A655J1A8,ERS007741_02230,Uncharacterized protein,213
A0A655J373,ERS007657_02940,Uncharacterized protein,95
A0A654TSR6,pepR,Zinc protease,122
A0A655AMD8,ccdA,Cytochrome C-type biogenesis protein CcdA,197
A0A655A6D8,rssA_1,Drug transporter,286
A0A655JTK2,ERS007657_03898,Uncharacterized protein,147
A0A0T9BT23,ERS007657_00945,Uncharacterized protein,61
A0A655ESK7,ERS007661_04180,PPE family protein,63
A0A654ZFB4,ERS007720_00696,Secreted protein,102
A0A654TAM1,ERS007657_00149,Uncharacterized protein,85
A0A655FUG3,ERS007720_05032,Pyridoxamine 5'-phosphate oxidase,73
A0A654ZGN4,ERS007657_03824,Secreted protein,98
A0A0U0T9Q3,ERS007703_04328,Uncharacterized protein,99
A0A0U0TFT3,ERS007688_04189,Uncharacterized protein,190
A0A655FS95,ERS007657_03903,Magnesium chelatase,118
A0A0U0TAT7,ERS007657_03927,Uncharacterized protein,79
A0A654ZMF5,ERS007679_02820,Uncharacterized protein,81
A0A655EXV9,ERS007661_02193,Uncharacterized protein,233
A0A655ASX3,ERS007720_03133,Uncharacterized protein,103
A0A655ELJ7,ERS007657_00603,Uncharacterized protein,70
A0A655ABZ5,ERS007657_00733,Uncharacterized protein,68
A0A654ZM37,ERS007661_01363,Uncharacterized protein,85
A0A655JRG0,ERS007688_04515,Exported repetitive protein PirG,187
A0A655FWM4,ERS007661_03835,Uncharacterized protein,117
A0A655J4P7,tsf,Elongation factor Ts,135
A0A655A7J0,ERS007661_01939,Uncharacterized protein,146
A0A0U0RJE8,ERS007703_02830,Enoyl-CoA hydratase,69
A0A655DLU6,ERS007657_04348,Uncharacterized protein,72
A0A655J5B0,ERS007720_02382,Secreted protein,55
A0A0U0RS58,ERS007679_01308,Conserved alanine rich transmembrane protein,128
A0A0U0SWW1,ERS007661_04132,Uncharacterized protein,125
A0A655A163,ERS027659_01847,Uncharacterized protein,246
A0A655ARF9,ERS007661_03185,Transposase,116
A0A655FZS8,ERS007661_04649,Glycosyl hydrolase,60
A0A655FTY1,ERS007661_03575,Transposase,87
A0A655AQ46,lppL,Lipoprotein LppL,135
A0A0T7LCJ7,ERS007657_02227,Uncharacterized protein,51
A0A654ZJB8,ERS007681_04595,PPE family protein,83
A0A655AA13,ERS027646_01694,Uncharacterized protein,127
A0A655D9X3,ERS007661_00812,Uncharacterized protein,227
A0A0T7PL74,ERS007657_03820,Lipoprotein lpqW,56
A0A654ZIE2,ERS027646_00808,Truncated IS1536 transposase,172
A0A655HL93,ERS007679_00134,Uncharacterized protein,123
A0A655A5T6,ERS007657_00088,Uncharacterized protein,184
A0A655AJ15,ERS027646_04884,Uncharacterized protein,89
A0A655D3M6,ERS007688_01237,Uncharacterized protein,168
A0A655J255,lprL,"Conserved lipoprotein of uncharacterized function, MCE-family lipoprotein Mce2E,",155
A0A654ZIL1,ERS007661_02263,Uncharacterized protein,134
A0A654ZVM7,ERS007661_02150,PPE family protein,104
A0A655I5K3,treZ,Malto-oligosyltrehalose trehalohydrolase,219
A0A655AEM9,pstC,Phosphate transport system permease protein pstC 1,104
A0A655FDW9,ERS007661_01928,Uncharacterized protein,261
A0A654THH1,vraS,Two component sensor kinase,133
A0A0T7LXK6,ERS007681_04542,Uncharacterized protein,83
A0A0T7LUZ6,ERS007688_02238,Uncharacterized protein,166
A0A655JQU8,ERS007657_03097,Uncharacterized protein,96
A0A0T7PJT4,ERS007657_03316,Uncharacterized protein,137
A0A0U0SNQ0,ERS007679_04382,Uncharacterized protein,76
A0A0T9CR09,ERS007657_02108,Uncharacterized protein,129
A0A0T9END9,ERS007679_03047,PPE family protein,56
A0A655C0S0,ERS007661_03132,Uncharacterized protein,84
A0A655FPA7,ERS007681_04594,PPE family protein,71
A0A655AK22,sucB,Putative pyruvate dehydrogenase,310
A0A655AQ30,ERS027646_04496,Regulator of polyketide synthase expression,214
A0A654U1K2,ERS007657_02317,Uncharacterized protein,64
A0A655IT37,ERS007681_00783,Uncharacterized protein,185
A0A654TTS2,ERS007661_03020,Uncharacterized protein,197
A0A655JH12,ERS007741_03422,Uncharacterized protein,52
A0A654U173,mbtI,salicylate synthase,335
A0A654TR81,ERS007657_01477,Uncharacterized protein,95
A0A654TG88,ERS007657_03846,Uncharacterized protein,70
A0A655EA26,ERS007657_01704,Secreted protein,63
A0A655IQN6,ERS007688_03569,Uncharacterized protein,173
A0A654ZZ10,ecfT,Cobalt/nickel transporter permease,177
A0A655JGK8,ERS007661_04085,Conserved membrane protein of uncharacterized function,86
A0A655IQ41,ERS007679_03112,Uncharacterized protein,68
A0A654TNF3,ERS007681_04793,PPE family protein,65
A0A655EVM2,ERS007657_00779,Uncharacterized protein,53
A0A655IW65,ERS007679_03419,Uncharacterized protein,123
A0A655AVJ3,ERS007739_04600,Uncharacterized protein,124
A0A654T8D0,vapC4,Conserved protein of uncharacterized function with PIN domain,86
A0A654U646,ERS007657_03791,Uncharacterized protein,106
A0A654ZR73,ERS007739_02705,Uncharacterized protein,100
A0A0T9DNB0,ERS007661_01744,Uncharacterized protein,72
A0A655A2D5,mmsA,methylmalonate-semialdehyde dehydrogenase (CoA acylating),312
A0A0E8ULI0,A4S10_01524,Uncharacterized protein,54
A0A654TWD3,ERS007657_00520,Transposase,54
A0A655JCW5,ERS007661_01712,Uncharacterized protein,61
A0A0T9YL81,yabJ,Translation initiation inhibitor,113
A0A0T9EIJ2,ERS007657_01762,Uncharacterized protein,83
A0A0T7LDP2,ERS007657_02722,Uncharacterized protein,120
A0A655J113,ERS007681_00958,Uncharacterized protein,129
A0A655I122,ERS007679_00232,Uncharacterized protein,183
A0A655JIG1,ERS007688_04228,Uncharacterized protein,109
A0A0T9E4X4,ERS007688_03139,Uncharacterized protein,98
A0A655IIC3,ERS007679_01367,Uncharacterized protein,54
A0A655JHN8,ERS007681_00717,PPE family protein,68
A0A0U0SC62,purD,Glycinamide ribonucleotide synthetase,264
A0A654U3T9,ERS007657_03013,Uncharacterized protein,114
A0A655EG26,ERS007679_02490,Uncharacterized protein,77
A0A0T9BC64,ERS007661_04012,Uncharacterized protein,130
A0A655AE23,ERS007657_00014,Uncharacterized protein,234
A0A0T9AQX7,ERS007657_01672,Secreted protein,92
A0A0T7PC80,ERS007657_00551,Uncharacterized protein,145
A0A0T9B507,ERS007679_00643,ATPase,253
A0A0U0R9K8,prfA_1,Peptide chain release factor RF-1,56
A0A0U0SGF8,ERS007679_03559,Dehydrogenase,237
A0A654U3P6,ERS007657_02891,Membrane-bound metallopeptidase,101
A0A0T9YJ30,ERS007657_01119,Uncharacterized protein,87
A0A655I6C0,ERS007679_02065,Uncharacterized protein,95
A0A0E8VF26,A4S10_00733,Uncharacterized protein,82
A0A654U4S6,rpsE,Small ribosomal subunit protein uS5,166
A0A655J083,ligA_2,NAD-dependent DNA ligase ligA,92
A0A655AWM7,dhmA,Haloalkane dehalogenase,85
A0A655IKJ5,ERS007681_03801,Uncharacterized protein,108
A0A085YHG4,A4S10_04024,Membrane protein,233
A0A0U0RDL0,ERS007703_02531,Uncharacterized protein,163
A0A0T9FR84,ERS007661_02463,Uncharacterized protein,80
A0A0U0UA69,ERS007661_04227,Uncharacterized protein,115
A0A654U1H7,ERS007657_01498,Uncharacterized protein,54
A0A654ZJ54,ycdF,Oxidoreductase,197
A0A654TME4,ERS007688_01963,Uncharacterized protein,104
A0A654TRE2,fadD_1,Fatty-acid-CoA ligase FadD6 (Fatty-acid-CoA synthetase) (Fatty-acid-CoA synthase,402
A0A0U0RSC9,ERS007679_02854,Amidohydrolase,192
A0A655A7C7,ERS007739_01517,Uncharacterized protein,136
A0A654TF61,ERS007661_00055,Uncharacterized protein,91
A0A655FDR3,ERS007679_00369,Uncharacterized protein,79
A0A655JQR1,pknL,non-specific serine/threonine protein kinase,261
A0A655A7Z1,dedA,Transmembrane protein DEDA,104
A0A654TFU7,ERS007681_03959,Uncharacterized protein,187
A0A655AR67,ERS007688_04296,Conserved membrane protein of uncharacterized function,79
A0A0U0RC88,ERS007703_03657,Uncharacterized protein,60
A0A0T9B3E8,ERS007679_02912,PhiRv1 phage protein,107
A0A0T9F7G5,ERS007679_03115,Uncharacterized protein,85
A0A0T7PG05,ERS007657_01599,Uncharacterized protein,74
A0A0T9D5K5,CAB90_01453,Uncharacterized protein,83
A0A655ATY9,lgrD_2,Peptide synthetase,94
A0A0U0S6W5,ERS007657_01108,Transmembrane protein,64
A0A655EZV1,ERS007657_00560,Uncharacterized protein,148
A0A0T9N511,ERS007657_01763,Uncharacterized protein,164
A0A655AMD6,ERS007679_03878,Uncharacterized protein,72
A0A655AW32,ERS007661_02489,Uncharacterized protein,55
A0A654TF28,rpoA,DNA-directed RNA polymerase subunit alpha,237
A0A0U0R9Q7,ERS007661_02679,Uncharacterized protein,93
A0A0T9ZJ86,ERS007679_00230,Uncharacterized protein,120
A0A655FCY1,ERS007657_04267,Uncharacterized protein,88
A0A0U0SDN9,ERS007688_03241,Uncharacterized protein,136
A0A654U214,ERS007657_02333,PPE family protein,122
A0A655A340,ERS007741_00850,Methyltransferase,154
A0A0E8U0V8,phoP_1,PhoP family transcriptional regulator,223
A0A655EY35,ERS007681_00959,Uncharacterized protein,70
A0A076DWX8,ERS007703_02534,Uncharacterized protein,106
A0A655J973,ERS007681_04017,Uncharacterized protein,237
A0A0T7LKB0,ERS007679_03003,Uncharacterized protein,73
A0A0U0SN15,ERS007679_04478,Cutinase cut1,153
A0A655ANW0,ERS007661_02933,Uncharacterized protein,91
A0A654U691,rebM_3,Methylase involved in ubiquinone/menaquinone biosynthesis,130
A0A654ZK85,sigL,RNA polymerase sigma factor SigL,129
A0A0T7LGR2,ERS007657_00188,Uncharacterized protein,78
A0A0T9EK70,ERS007679_03357,Uncharacterized protein,111
A0A655FXS7,ERS027646_00620,Uncharacterized protein,71
A0A655JPZ3,ERS007661_04060,Uncharacterized protein,97
A0A655GJ18,ERS007679_03560,Uncharacterized protein,80
A0A654ZFB6,ERS007661_03117,Secreted protein,68
A0A0E9AA21,A4S10_03624,Uncharacterized protein,71
A0A0T9XL04,ERS007661_01028,Uncharacterized protein,63
A0A654TAT2,ERS007681_02180,Polyketide synthase,547
A0A0U0SDP0,CAB90_03760,Uncharacterized protein,83
A0A0T9DE24,ERS007703_03569,Uncharacterized protein,98
A0A0E8BHC0,vapB3,Antitoxin VapB3,72
A0A655FXM2,ERS007661_04203,Uncharacterized protein,60
A0A655A1S0,ERS007720_02927,Uncharacterized protein,147
A0A655FPR0,ERS007657_03754,Uncharacterized protein,65
A0A655IX98,ERS007661_01124,Uncharacterized protein,117
A0A0U0UM46,ERS007661_02848,Uncharacterized protein,73
A0A655A4P1,ERS007681_04618,Uncharacterized protein,52
A0A655A786,ERS007661_02457,Uncharacterized protein,126
A0A0T7PMC3,ERS007657_04015,Uncharacterized protein,102
A0A0U0T8P5,ERS007661_00481,Uncharacterized protein,59
A0A654THY3,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,243
A0A655AQB9,ERS007720_03461,Uncharacterized protein,53
A0A654TE74,ERS007657_02842,Uncharacterized protein,58
A0A0T7LNT1,ERS007681_04275,Uncharacterized protein,90
A0A655AGW6,ERS007679_01366,Uncharacterized protein,228
A0A655I811,ERS007741_00332,Uncharacterized protein,135
A0A655AAS1,pknDb,Serine/threonine-protein kinase,295
A0A655HNK7,ERS007657_01112,Uncharacterized protein,159
A0A0U0RM46,ERS007661_04173,Uncharacterized protein,89
A0A654TJC6,ERS007679_04176,Uncharacterized protein,73
A0A655AS40,mtr_2,NADPH-dependent mycothiol reductase MTR,193
A0A655FBR2,ERS007661_02780,Secreted protein,84
A0A655JPW0,ERS007679_04317,Uncharacterized protein,75
A0A655JDY5,ERS007679_04296,Exported repetitive protein PirG,87
A0A0U0RG37,ERS007688_03035,Uncharacterized protein,51
A0A655A7K7,ERS007679_03140,Transmembrane protein,204
A0A655IJ58,ERS007657_01500,Uncharacterized protein,146
A0A0T7LZ52,aao,D-amino-acid oxidase,55
A0A654U2Q9,ERS007657_02664,Resolvase,121
A0A0T9YIV5,ERS007661_02161,Uncharacterized protein,81
A0A654ZSY4,ERS007718_02771,PE-PGRS family protein,60
A0A0U0RXZ9,ERS007661_01857,Uncharacterized protein,144
A0A0T7LMV7,ERS007661_01822,Uncharacterized protein,150
A0A0T7LGA8,ERS007657_01461,Uncharacterized protein,79
A0A0T9G7N9,ERS007661_02620,Uncharacterized protein,76
A0A0T9LZ95,ERS007741_04459,Uncharacterized protein,109
A0A655JF49,thiO,Thiamine biosynthesis oxidoreductase ThiO,220
A0A655FVY9,ERS007657_04094,Uncharacterized protein,89
A0A0T9G2B7,ERS007661_00743,Uncharacterized protein,90
A0A655EE63,ERS007657_01876,Uncharacterized protein,151
A0A654ZPI3,ERS027646_04935,Uncharacterized protein,50
A0A654U1P2,ERS007657_02367,Uncharacterized protein,93
A0A0T9Y4Z8,ERS007661_01226,Uncharacterized protein,128
A0A655ARR1,ERS007657_04138,Uncharacterized protein,106
A0A655J897,ERS007657_02726,Uncharacterized protein,161
A0A655AIP4,ERS007657_03637,Uncharacterized protein,72
A0A654ZFW4,ERS007657_04508,Uncharacterized protein,83
A0A655DR59,ERS007661_00689,Uncharacterized protein,105
A0A654U2Y7,cpsA,Protein cpsA,131
A0A655EXT9,ERS007741_04588,Uncharacterized protein,98
